Type,Meg,Elapsed,Convergence_Type,Scheduler,Converged,atol,seed,n_states
KLDiv Meg,4.725486755371094,23.623330116271973,Q,True,True,1e-05,0,20
Matt Meg,4.741771221160889,585.4333429336548,Q,,False,1e-05,0,20
KLDiv Meg,4.728116989135742,25.773536920547485,Q,True,True,1e-05,100,20
Matt Meg,4.7415008544921875,344.36323642730713,Q,,True,1e-05,100,20
KLDiv Meg,4.726305961608887,24.221047401428223,Q,True,True,1e-05,500,20
Matt Meg,4.74068546295166,252.96934413909912,Q,,True,1e-05,500,20
KLDiv Meg,6.544212341308594,66.61533427238464,Q,True,True,1e-05,42,50
Matt Meg,6.60331392288208,87.90708088874817,Q,,True,1e-05,42,50
KLDiv Meg,6.543590068817139,65.84496283531189,Q,True,True,1e-05,6033,50
Matt Meg,6.60409688949585,94.93402242660522,Q,,True,1e-05,6033,50
KLDiv Meg,6.543057441711426,65.04776263237,Q,True,True,1e-05,0,50
Matt Meg,6.603758811950684,90.49637579917908,Q,,True,1e-05,0,50
KLDiv Meg,6.540668487548828,63.78874087333679,Q,True,True,1e-05,100,50
Matt Meg,6.604359149932861,92.85249757766724,Q,,True,1e-05,100,50
KLDiv Meg,6.554348468780518,76.76407170295715,Q,True,True,1e-05,500,50
Matt Meg,6.603786468505859,90.18402457237244,Q,,True,1e-05,500,50
KLDiv Meg,6.756773948669434,84.69680261611938,Q,True,True,1e-05,42,76
Matt Meg,6.866827011108398,235.84323859214783,Q,,True,1e-05,42,76
KLDiv Meg,6.7559051513671875,83.1442322731018,Q,True,True,1e-05,6033,76
Matt Meg,6.866960525512695,257.18581342697144,Q,,True,1e-05,6033,76
KLDiv Meg,6.761353015899658,87.24815893173218,Q,True,True,1e-05,0,76
Matt Meg,6.866836071014404,238.88872385025024,Q,,True,1e-05,0,76
KLDiv Meg,6.752516746520996,82.39878582954407,Q,True,True,1e-05,100,76
Matt Meg,6.866879463195801,254.11711764335632,Q,,True,1e-05,100,76
KLDiv Meg,6.75732421875,84.90732026100159,Q,True,True,1e-05,500,76
Matt Meg,6.866771697998047,239.86560559272766,Q,,True,1e-05,500,76
KLDiv Meg,6.407040596008301,90.00164461135864,Q,True,True,1e-05,42,100
Matt Meg,6.4989190101623535,346.11185097694397,Q,,True,1e-05,42,100
KLDiv Meg,6.400997161865234,86.5031886100769,Q,True,True,1e-05,6033,100
Matt Meg,6.498963356018066,336.7359080314636,Q,,True,1e-05,6033,100
KLDiv Meg,6.403797149658203,87.40629267692566,Q,True,True,1e-05,0,100
Matt Meg,6.498948097229004,352.4106159210205,Q,,True,1e-05,0,100
