Norm,Metric,Distance,Env,mean_episode_rewards,val_mean_episode_rewards,run
l2_norm,l2_dist,1.2454489469528198,Train,10,10.0,northern-waterfall-1174
linf_norm,l1_dist,0.48191606998443604,Train,10,10.0,northern-waterfall-1174
linf_norm,l2_dist,0.6760249733924866,Train,10,10.0,northern-waterfall-1174
l1_norm,l1_dist,1.4423776865005493,Valid,10,10.0,northern-waterfall-1174
l1_norm,l2_dist,2.083796501159668,Valid,10,10.0,northern-waterfall-1174
l2_norm,l1_dist,0.9176641702651978,Valid,10,10.0,northern-waterfall-1174
l2_norm,l2_dist,1.3313254117965698,Valid,10,10.0,northern-waterfall-1174
linf_norm,l1_dist,0.20289570093154907,Valid,10,10.0,northern-waterfall-1174
linf_norm,l2_dist,0.3018344044685364,Valid,10,10.0,northern-waterfall-1174
l1_norm,l1_dist,1.1837685108184814,Train,10,10.0,copper-oath-1175
l1_norm,l2_dist,2.7718265056610107,Train,10,10.0,copper-oath-1175
l2_norm,l1_dist,0.7727359533309937,Train,10,10.0,copper-oath-1175
l2_norm,l2_dist,1.2452173233032227,Train,10,10.0,copper-oath-1175
linf_norm,l1_dist,0.4790806770324707,Train,10,10.0,copper-oath-1175
linf_norm,l2_dist,0.6721780896186829,Train,10,10.0,copper-oath-1175
l1_norm,l1_dist,1.4410828351974487,Valid,10,10.0,copper-oath-1175
l1_norm,l2_dist,2.0794765949249268,Valid,10,10.0,copper-oath-1175
l2_norm,l1_dist,0.9158249497413635,Valid,10,10.0,copper-oath-1175
l2_norm,l2_dist,1.3285279273986816,Valid,10,10.0,copper-oath-1175
linf_norm,l1_dist,0.20227113366127014,Valid,10,10.0,copper-oath-1175
linf_norm,l2_dist,0.30065038800239563,Valid,10,10.0,copper-oath-1175
l1_norm,l1_dist,1.8948233127593994,Train,10,9.5,comfy-sky-1176
l1_norm,l2_dist,5.5524187088012695,Train,10,9.5,comfy-sky-1176
l2_norm,l1_dist,0.8535298705101013,Train,10,9.5,comfy-sky-1176
l2_norm,l2_dist,1.388286828994751,Train,10,9.5,comfy-sky-1176
linf_norm,l1_dist,0.39782655239105225,Train,10,9.5,comfy-sky-1176
linf_norm,l2_dist,0.5631406307220459,Train,10,9.5,comfy-sky-1176
l1_norm,l1_dist,1.3841991424560547,Valid,10,9.5,comfy-sky-1176
l1_norm,l2_dist,1.9846497774124146,Valid,10,9.5,comfy-sky-1176
l2_norm,l1_dist,0.8925281763076782,Valid,10,9.5,comfy-sky-1176
